Name,Length,Thickness,Tension,Moment,Shear,Rebar Size,Rebar Spacing,Layers,DCR
ROOF-1_P-S1-1,223,7.60,-4.7,1126.4,109.7,#4,@ 24.0'',(1),0.40
ROOF-1_P-S1.1-1,223,7.60,2.2,604.8,37.4,#4,@ 24.0'',(1),0.16
ROOF-1_P-G-01,77,7.60,-13.7,131.1,23.3,#4,@ 24.0'',(1),0.31
ROOF-1_P-G-02,113,7.60,-5.7,83.1,21.9,#4,@ 24.0'',(1),0.15
ROOF-1_P-E.8-1,113,7.60,-1.7,232.1,39.8,#4,@ 24.0'',(1),0.30
ROOF_P-S1-1,577,7.60,56.1,8800.1,868.0,#4,@ 24.0'',(1),1.04
ROOF_P-S1.1-1,223,7.60,6.2,796.2,392.7,#4,@ 24.0'',(1),1.18
ROOF_P-S4-1,24,5.20,3.8,46.0,19.1,#5,@ 72.0'',(2),1.36
ROOF_P-S6-1,355,5.20,-132.1,6420.1,1061.0,#5,@ 72.0'',(2),4.13
ROOF_P-S6.2-1,24,5.20,-0.7,69.3,21.3,#5,@ 72.0'',(2),1.61
ROOF_P-S6.3-1,50,5.20,0.1,252.3,64.4,#5,@ 72.0'',(2),2.25
ROOF_P-S6.3-2,67,5.20,-9.6,156.6,36.7,#5,@ 72.0'',(2),0.92
ROOF_P-S6.7-1,175,5.20,-28.1,1179.9,357.7,#5,@ 72.0'',(2),2.70
ROOF_P-S7-1,355,5.20,-138.4,7265.7,1082.6,#5,@ 72.0'',(2),4.27
ROOF_P-S13-1,258,7.60,11.8,1845.7,430.4,#4,@ 24.0'',(1),1.15
ROOF_P-S13.5-1,138,7.60,10.1,292.3,30.6,#4,@ 24.0'',(1),0.21
ROOF_P-S14-1,445,7.60,27.1,7383.5,1017.1,#4,@ 24.0'',(1),1.58
ROOF_P-H.8-1,213,7.60,-58.5,683.7,177.6,#4,@ 24.0'',(1),0.62
ROOF_P-H.3-1,30,7.60,-4.7,69.9,28.0,#4,@ 24.0'',(1),1.01
ROOF_P-H.3-2,107,7.60,-13.4,47.4,30.7,#4,@ 24.0'',(1),0.20
ROOF_P-H.2-1,118,5.20,8.1,134.1,11.5,#5,@ 72.0'',(2),0.17
ROOF_P-H.2-2,120,5.20,21.8,98.3,24.4,#5,@ 72.0'',(2),0.26
ROOF_P-H.2-3,81,5.20,7.9,109.5,19.9,#5,@ 72.0'',(2),0.31
ROOF_P-H.2-4,415,5.20,70.4,355.9,44.5,#5,@ 72.0'',(2),0.13
ROOF_P-H-01,62,5.20,-12.9,110.5,47.8,#5,@ 72.0'',(2),1.13
ROOF_P-H-02,152,5.20,13.4,190.5,61.2,#5,@ 72.0'',(2),0.50
ROOF_P-H-03,76,5.20,12.7,43.4,11.7,#5,@ 72.0'',(2),0.22
ROOF_P-H-04,199,5.20,36.4,226.6,44.8,#5,@ 72.0'',(2),0.28
ROOF_P-H-05,666,5.20,64.8,622.1,124.5,#5,@ 72.0'',(2),0.22
ROOF_P-H-06,20,5.20,5.3,9.1,2.0,#5,@ 72.0'',(2),0.08
ROOF_P-H-07,96,5.20,26.6,80.9,27.2,#5,@ 72.0'',(2),0.36
ROOF_P-H-08,12,5.20,4.2,0.9,0.3,#5,@ 72.0'',(2),0.01
ROOF_P-H-09,123,5.20,34.3,69.1,20.6,#5,@ 72.0'',(2),0.17
ROOF_P-H-10,21,5.20,7.4,6.4,1.8,#5,@ 72.0'',(2),0.06
ROOF_P-H-11,18,5.20,5.9,3.8,1.1,#5,@ 72.0'',(2),0.05
ROOF_P-H-12,42,5.20,11.7,20.5,5.8,#5,@ 72.0'',(2),0.23
ROOF_P-H-13,180,5.20,30.7,47.0,31.5,#5,@ 72.0'',(2),0.20
ROOF_P-H-14,18,5.20,-0.3,12.8,3.8,#5,@ 72.0'',(2),0.17
ROOF_P-H-15,41,5.20,-3.7,120.8,34.5,#5,@ 72.0'',(2),1.57
ROOF_P-H-16,91,5.20,-22.3,313.9,113.1,#5,@ 72.0'',(2),1.78
ROOF_P-H-17,1107,5.20,163.5,3359.6,182.5,#5,@ 72.0'',(2),0.18
ROOF_P-H-18,1329,5.20,125.4,3335.5,181.3,#5,@ 72.0'',(2),0.15
ROOF_P-G.8-1,107,7.60,3.2,143.8,32.2,#4,@ 24.0'',(1),0.24
ROOF_P-G-01,77,7.60,-8.8,373.7,151.4,#4,@ 24.0'',(1),1.52
ROOF_P-G-02,12,5.20,-3.1,6.4,3.3,#5,@ 72.0'',(2),0.55
ROOF_P-G-03,79,5.20,7.0,208.0,54.9,#5,@ 72.0'',(2),0.99
ROOF_P-G-04,108,5.20,4.7,196.6,55.7,#5,@ 72.0'',(2),0.69
ROOF_P-G-05,90,5.20,3.3,71.2,19.6,#5,@ 72.0'',(2),0.30
ROOF_P-G-06,168,5.20,-6.7,149.0,61.4,#5,@ 72.0'',(2),0.46
ROOF_P-G-07,90,5.20,-26.1,458.0,135.2,#5,@ 72.0'',(2),2.26
ROOF_P-G-08,182,5.20,-111.6,634.8,193.5,#5,@ 72.0'',(2),1.58
ROOF_P-G-09,37,5.20,-27.7,13.8,5.4,#5,@ 72.0'',(2),0.32
ROOF_P-G-10,87,5.20,-75.3,588.4,222.1,#5,@ 72.0'',(2),4.38
ROOF_P-G-11,90,5.20,-31.2,458.2,138.5,#5,@ 72.0'',(2),2.34
ROOF_P-G-12,168,5.20,-11.9,131.5,60.2,#5,@ 72.0'',(2),0.45
ROOF_P-G-13,90,5.20,2.5,121.2,33.6,#5,@ 72.0'',(2),0.52
ROOF_P-G-14,186,5.20,11.3,367.1,108.5,#5,@ 72.0'',(2),0.73
ROOF_P-G-15,90,5.20,10.6,261.2,75.5,#5,@ 72.0'',(2),1.14
ROOF_P-G-16,88,5.20,8.8,280.0,81.6,#5,@ 72.0'',(2),1.26
ROOF_P-G-17,165,5.20,-1.7,391.4,135.6,#5,@ 72.0'',(2),1.04
ROOF_P-G-18,2623,5.30,-2.8,12097.3,421.6,#4,@ 24.0'',(1),0.21
ROOF_P-F-1,132,5.20,-8.7,422.4,107.4,#5,@ 72.0'',(2),1.11
ROOF_P-F-2,132,5.20,-24.3,136.6,71.1,#5,@ 72.0'',(2),0.70
ROOF_P-F-3,103,5.20,-4.3,245.0,82.5,#5,@ 72.0'',(2),1.08
ROOF_P-E.8-1,113,7.60,-27.7,232.3,55.5,#4,@ 24.0'',(1),0.40
3RD FLOOR_P-S1-1,577,7.60,76.4,19277.4,1439.2,#4,@ 24.0'',(1),1.76
3RD FLOOR_P-S1.1-1,223,7.60,-12.0,2509.4,661.3,#4,@ 24.0'',(1),2.09
3RD FLOOR_P-S4-1,24,5.20,7.9,51.1,21.3,#5,@ 72.0'',(2),1.44
3RD FLOOR_P-S6-1,355,5.20,-332.7,19208.5,1771.3,#5,@ 72.0'',(2),8.76
3RD FLOOR_P-S6.2-1,24,5.20,3.5,68.9,20.4,#5,@ 72.0'',(2),1.46
3RD FLOOR_P-S6.3-1,50,5.20,0.0,392.1,91.4,#5,@ 72.0'',(2),3.30
3RD FLOOR_P-S6.3-2,67,5.20,-0.7,228.9,53.0,#5,@ 72.0'',(2),1.27
3RD FLOOR_P-S6.7-1,175,5.20,-68.8,3022.8,583.1,#5,@ 72.0'',(2),2.54
3RD FLOOR_P-S7-1,355,5.20,-336.6,22657.4,1936.3,#5,@ 72.0'',(2),4.23
3RD FLOOR_P-S13-1,258,7.60,7.5,5265.9,884.2,#4,@ 24.0'',(1),2.46
3RD FLOOR_P-S13.5-1,138,7.60,23.5,949.3,111.6,#4,@ 24.0'',(1),0.70
3RD FLOOR_P-S14-1,445,7.60,78.6,15607.7,1423.6,#4,@ 24.0'',(1),2.25
3RD FLOOR_P-H.8-1,213,7.60,-186.0,1604.5,215.3,#4,@ 24.0'',(1),0.93
3RD FLOOR_P-H.3-1,30,7.60,-18.2,35.6,16.4,#4,@ 24.0'',(1),0.62
3RD FLOOR_P-H.3-2,107,7.60,-22.7,18.5,18.0,#4,@ 24.0'',(1),0.12
3RD FLOOR_P-H.2-1,253,5.20,54.2,452.8,41.4,#5,@ 72.0'',(2),0.22
3RD FLOOR_P-H.2-2,108,5.20,37.9,78.1,38.9,#5,@ 72.0'',(2),0.37
3RD FLOOR_P-H.2-3,415,5.20,146.3,734.3,72.9,#5,@ 72.0'',(2),0.20
3RD FLOOR_P-H-01,62,5.20,-18.8,73.6,34.7,#5,@ 72.0'',(2),0.83
3RD FLOOR_P-H-02,116,5.20,24.1,226.7,53.0,#5,@ 72.0'',(2),0.60
3RD FLOOR_P-H-03,46,5.20,14.2,28.8,8.3,#5,@ 72.0'',(2),0.28
3RD FLOOR_P-H-04,306,5.20,84.7,758.5,70.6,#5,@ 72.0'',(2),0.30
3RD FLOOR_P-H-05,666,5.20,133.6,1521.7,108.6,#5,@ 72.0'',(2),0.20
3RD FLOOR_P-H-06,20,5.20,15.6,7.5,2.2,#5,@ 72.0'',(2),0.08
3RD FLOOR_P-H-07,96,5.20,54.8,98.0,23.1,#5,@ 72.0'',(2),0.30
3RD FLOOR_P-H-08,12,5.20,10.3,1.1,0.3,#5,@ 72.0'',(2),0.01
3RD FLOOR_P-H-09,123,5.20,73.6,122.3,23.9,#5,@ 72.0'',(2),0.20
3RD FLOOR_P-H-10,21,5.20,15.6,5.2,1.5,#5,@ 72.0'',(2),0.04
3RD FLOOR_P-H-11,18,5.20,14.4,3.7,1.0,#5,@ 72.0'',(2),0.04
3RD FLOOR_P-H-12,42,5.20,24.1,17.0,4.2,#5,@ 72.0'',(2),0.15
3RD FLOOR_P-H-13,180,5.20,68.6,191.8,29.4,#5,@ 72.0'',(2),0.20
3RD FLOOR_P-H-14,18,5.20,2.8,8.8,2.7,#5,@ 72.0'',(2),0.12
3RD FLOOR_P-H-15,41,5.20,-20.3,90.8,27.7,#5,@ 72.0'',(2),1.44
3RD FLOOR_P-H-16,91,5.20,-83.1,328.8,133.5,#5,@ 72.0'',(2),2.50
3RD FLOOR_P-H-17,1107,5.20,303.1,13023.7,156.4,#5,@ 72.0'',(2),0.20
3RD FLOOR_P-H-18,1329,5.20,327.4,10750.6,155.3,#5,@ 72.0'',(2),0.15
3RD FLOOR_P-G.8-1,107,7.60,18.5,55.7,7.7,#4,@ 24.0'',(1),0.07
3RD FLOOR_P-G-01,77,7.60,-31.4,351.3,159.8,#4,@ 24.0'',(1),1.66
3RD FLOOR_P-G-02,12,5.20,-6.6,8.8,4.8,#5,@ 72.0'',(2),0.89
3RD FLOOR_P-G-03,79,5.20,2.6,228.0,63.7,#5,@ 72.0'',(2),1.16
3RD FLOOR_P-G-04,108,5.20,6.8,209.4,58.2,#5,@ 72.0'',(2),0.72
3RD FLOOR_P-G-05,90,5.20,0.4,74.7,19.6,#5,@ 72.0'',(2),0.31
3RD FLOOR_P-G-06,168,5.20,-14.3,171.2,65.8,#5,@ 72.0'',(2),0.50
3RD FLOOR_P-G-07,90,5.20,-63.8,322.0,113.0,#5,@ 72.0'',(2),2.06
3RD FLOOR_P-G-08,182,5.20,-265.2,462.1,154.3,#5,@ 72.0'',(2),1.63
3RD FLOOR_P-G-09,37,5.20,-95.2,36.1,20.8,#5,@ 72.0'',(2),2.87
